Review,label
Umm... Lately There is Auto Pausing Problem when the screen Locks Hope It Will Fix Soon,NEGATIVE
Amazing songs and artists!!! Great app 10/10 review!!,POSITIVE
"Not bad but not good. I wanted to listen to a song that I like but suddenly it played a different song. I tried adding my fav songs to my playlist but it played a song that I did not add on my playlist. Well, that's okay.",NEGATIVE
"I absolutely love Spotify and I'm obsessed with music, but I only rated it 4 starts for a reasom. Ok so basically my Spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and I had no idea how to fix. And whats weird is that it would work on my other devices with my Spotify account just not on my phone. So it might be my phone but idk. And another thing it does is it just randomly kicks me out of the app sometimes. Well thats all I have",NEGATIVE
I really love it my favorite thing about this app is the lyrics ðŸ˜ it's amazing I love singing along with my favorite songs ðŸŽµ ðŸ’•,POSITIVE
Best music app....best collections.....they wil create playlists specially for youu...I loved it best app ever,POSITIVE
Nice app but the ads is very disturbing,NEGATIVE
Stopped working this morning for some reason.,NEGATIVE
How long will it take to fix the payment option. Being on the free plan is not a nice experience. I want to get back on Premium but its failed now for the 2nd month.,NEGATIVE
This is nice app i love spotify,POSITIVE
Having streaming trouble with new update. Skipping of audio and app crashes,NEGATIVE
"Easy play, and all singers and songs I wanted is here.Thank you",POSITIVE
It's a amazing app but if it has been an option to download songs it's completely fantasy,POSITIVE
The recommendations are always for popular stuff no matter what you listen to. Worst recommendations of all time. There is little to no effort put into these. If you made a playlist exclusively with 90's Norwegian death metal this dumb app would trip over it's dick racing to suggest Island in the Sun by Weezer. The now playing bar only exists most of the time making it almost impossible to use without restarting your phone,NEGATIVE
I'm speechless this app is amazing.,POSITIVE
I cant open the app ðŸ˜­ I've tried deleting it and restarting my phone someone help,NEGATIVE
For a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... Constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen So no way to skip forward back etc... And when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... Been waiting for this basic feature for literally years,NEGATIVE
"I have used this app for a few years now, Love it so much.",POSITIVE
NICE ONE THANKS FOR YOUR HELP AND support,POSITIVE
Have same issue as others... App keeps freezing and crashing. Is there something with the recent updates as the app plays and stops constantly?,NEGATIVE
This is one of the best music app of all time it's amazing if I could do 3000 out of 100000 I would give it a 100000000000000,POSITIVE
"Please help me how do I fix this I can't open the app the logo is stuck in the screen, I tried restarting and reinstalling the app and it doesn't work. Fix this.",NEGATIVE
All good but I don't like ads too much ads,NEGATIVE
"Living remotely, Spotify is the only way to go. Love it.!!!",NEGATIVE
"Itâ€™s the best App I have ever used for listening music. There are numerous options, playlists and specially blends.Spotify really knows me well. It creates playlists by my favourite songs which is appreciated. Artist mix,genre mix,mood mix these are so good. I like using Spotify. But I wish there were a few more advantages for those who use a free account. For example skipping more than 6 songs.",POSITIVE
So bad I just want my songs so when I made a new play list to get rid of all the songs they added it literally put 500 extra song I rate one or zero,NEGATIVE
The app is not working on moto g52 5g. The app opens and nothing happens it will be in opening app state only.,NEGATIVE
Probably the best app I found in Play Store for music.I love every feature in this app and my opinion is that you must add calller tone and ringtone option in Spotify because Spotify have all songs and other apps don't so if you add this feature for paid listeners I'll be amazing.,POSITIVE
"A lot of ads come in this, after every two songs the add comes, please remove the add.",NEGATIVE
Love it but why did they add it where if I play the song on my tv they show a picture of the artist's profile picture as the background? I liked the solid color with the album cover in the corner better. I couldn't find a way to turn it off either. Love Mac DeMarco but it jumpscared me seeing his face out of nowhere. Need an option to take it off. Ruins the aesthetic.,NEGATIVE
"This is absolutely ridiculous. I lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. Severely unimpressed",NEGATIVE
I can find most songs I love but sometimes can't find older songs but love it none the less.,POSITIVE
It is a great music app it's my favorite and I know you will like it but one thing I don't like is you have limited amount of skips eatch hour and I recommend getting the app it's great to listening to songs with your friends and you :) and I love how you can make playlists I have one with over 50 songs!,POSITIVE
"Love it. Sadly you have to buy a subscription to fully enjoy the service. Love the blended mix between songs. Was told sound would be better when bought a subscription, but it's still the same.",NEGATIVE
"I like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. Other than that this is a good app.",NEGATIVE
"Best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality I really recommend downloading",POSITIVE
Easy to opporate and the pmaylist it matches up foe me r spot in what i wanted to hear. ðŸ‘ðŸ‘,NEGATIVE
can't like anymore songs,NEGATIVE
this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 SECOND!?!?! is this what I get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache WHAT ELSE do i need to do. help me please. I really like this app but if this keeps going then goodbye!!!,NEGATIVE
Very good and the exact app I was looking for. 1 star not given because of too many ads and some songs are not there.,NEGATIVE
The golden standard. Get premium y'all. It's worth it.,NEGATIVE
On time and always on point,POSITIVE
Great music. Easy to use. Amazing selection variety!,POSITIVE
"Slowly getting worse, my Spotify has been getting super buggy. A lot of random pauses and disconnects with my Tacoma. Bugged so bad it started playing music without knowing it and I could not pause or pull up any screen that would allow me to pause the music. Had to restart my phone, a S10+.",NEGATIVE
Like this app forever but the ads are disturbing ðŸ˜ pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and Spotify 4ever,NEGATIVE
Works well for the most part. Hangs occasionally with just a few bugs.,POSITIVE
"I have been using the app for podcasts, and I am enjoying it. However, some sometimes the media player does not appear when one transitions to a different podcast channel. To rectify this, I have to relaunch the app. Please see to this problem.",NEGATIVE
"Why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",NEGATIVE
"It works for a little then after a while it doesn't. When pressing the play button for a song a whole different song plays something I've never heard before, or pressed on but it shows the song I've requested playing please fix this.",POSITIVE
The only thing I don't like is I can't pick the song I want to play and I can't change from shuffle play to just playing from the first song to the last,NEGATIVE
Songs are again play after complete and need to give next track manual,NEGATIVE
"I don't know whats going on with this app, but I'm encountering so many problems now. The player is not visible nearly all of the time which makes it VERY difficult. Never used to have these problems. Needs to be fixed for Android users.",NEGATIVE
To many advertisements are there,NEGATIVE
Too much add its to irritating,NEGATIVE
"this app is getting more and more annoying, I can't even open the thing, it's just getting stuck on the damn loading screen, I waited for hours last night seeing if it would load, but nope. Fix your damn app",NEGATIVE
Last two updates have ruined the app. Turns off mod song and shuffle is stuck on. So frustrating.,NEGATIVE
"This app is great in so many ways. But Jesus does it glitch. There's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. Extremely annoying when you pay for your plan and it doesn't even function correctly. Please fix the bugs!!!!",NEGATIVE
Worst Everytime I open it I can't play any song It says no internet connection even when I am connected to internet. It only works when my phone is connected to WiFi. That's not good at all,NEGATIVE
They purposely throttle the app making it unbearable and a waste of time to use unless you have premium. Genuine disgusting business practice.,NEGATIVE
"I love this app but I wish we could have the option to turn off the ""we added"" part of MY playlist I'm don't want to listen to some random German song I can't understand when I'm trying to cry myself to sleep with really sad songs.",NEGATIVE
Good app for listening music.,POSITIVE
When I put my songs on random like 2k songs. It always seems the same ones play. Been like this for a while,NEGATIVE
Awesome app but can reduce ads for free users,NEGATIVE
It just open and crashes,NEGATIVE
No super awesome on android,NEGATIVE
"Extremely Poorly Optimised. Autoplays the same song always, unintuitive navigation to artist album releases etc.",NEGATIVE
"I have deleted the app to reinstall it and now it will not launch anymore!! Have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.ðŸ˜­ I have a premium.accnt and now I cannot even access it ! It gets stuck to the logo openingðŸ˜",NEGATIVE
Best aap to listen music,POSITIVE
Best Music Streaming App for Android and Ios. Provides Various songs to choose from based on person's personal recommendations.......,POSITIVE
"PREMIUM BUYERS: READ B4 U BUY Guys, the app's awesome. But: 1.There is no way to see all of the songs downloaded to ur phone. U can only see the playlists u've downloaded or partially downloaded. 2.The only way to clear space is to either delete all of ur songs or go playlist by playlist. If a song is on multiple playlists it won't delete. 3.You can't delete individual songs. This review is limited to 500 char. so I'm cut short. And offline mode is broken too. Dev email me for full report.",NEGATIVE
amazing app just a decent amount of adds,POSITIVE
"Amazing and easy to use app, so good to use. ðŸ’œðŸ‘€",POSITIVE
Customer Service is terrible. They don't answer emails back. No customer service phone number. No way to cancel subscription. Total Garbage. No help from them at all they just want the monthly subscription costs.,NEGATIVE
Good app Good music,POSITIVE
I never seen this type of app it's worst app The app is not at all opening from first i didn't listen even one song also Pls solve this problem Spotify ðŸ‘ðŸ»,NEGATIVE
WHEN I GO TO MY MUSIC IT KEEPS PUTING MUSIC THAT I DONT KNOW AND MUSIC THAT ARE NOT IN MY PLAYLIST LIKE FIX IT,NEGATIVE
I haven't used this app yet because it doesn't open when i press the app.. Spotify pls fix this.,NEGATIVE
"I was using the lite version then j installed this and i think that lite is better. The like button and skip are too close to each other, so it dislikes the song instead of skipping it and there is undo option for that u have search it again and also it crashes a lot. My phones literally telling me uninstall it bc of the crashesðŸ˜•. And sometines the player also dosent work and it dosent have background player like the lite versionðŸ˜. I getting rid of this one, getting the lite versionðŸ˜§",NEGATIVE
I bought 1day premium pack and still getting ads. Whats the point of spending money on premium?,NEGATIVE
Keeps crashing on my s22 ultra,NEGATIVE
Always had Spotify on my computer and now got it on my phone great to use doesn't take to long to open great .,POSITIVE
"So you mean to tell me that on order to listen to the songs that I WANT to on mobile and not some random song that will play instead, I am required to pay for Premium? Yeah, no. One star, and going back to YouTube.",NEGATIVE
"WAY too many ads, and it's always the same annoying 3. Ffs",NEGATIVE
Best app for music lovers.,POSITIVE
brilliant as always,POSITIVE
"App is extremely glitchy. Thought it was my phone and/or my poor internet but NOPE. After reading all these posts I see my experience is the same as others. So much for adding a Premium account, no thank you. 7/22 Pretty much the same as above. Still glitchy. Still no premium upgrade desired. Thanks though.ðŸ‘",NEGATIVE
I wish it would cycle through all the songs in a play list before playing a song I just herd,NEGATIVE
I hate Spotify it won't let me choose what I want type of music it sucksssss I hate I hate it I hate it!!!!! ;,NEGATIVE
Generally good. Lots of music i like. A few missing things. Don't want suggestions fir Kanye etc. Why doesn't it suggest more appropriate tunes?,POSITIVE
That's too much. Why would I use a music app that doesn't allow me to choose the tracks I wanna play? I'm done with Spotify.,NEGATIVE
i use this app multiple times daily. this might actually be my most used app. spotify is amazing and has an extremely large collection of music.,POSITIVE
I can't see my playlists on the app. It kept saying that i need to add music and podcasts. I tried creating new playlists but it didnt appear on my library. Is this a bug? Please fix this.,NEGATIVE
"I have a love/hate relationship with this app. I dont mind the ads, its the fact that i cant choose what songs i want to listen to anymore. I only get previews of the songs. I can only get 6 skips per hour. I cant do anything i want. Almosr all the songs i like to listen to are only for premium users. You put so many restrictions on us. Id rather pay for tidal. 2022 UPDATE: switched to youtube music my life is so much better ðŸ˜»ðŸ˜»",NEGATIVE
Every time I play a playlist or press shuffle on a playlist. It gives me some random song I haven't heard of before or even want to hear. For example I was playing a star wars playlist and out of nowhere after the first song. It went to someone like drake,NEGATIVE
"I love my Spotify because... It has an ""add free"" option It keeps record of the different types of music, artist, and bands (from old to new school) that I like. Spotify makes me daily mixes to check out ,which I love. Plus I get my daily horoscope reading on my way to work. Spotify= 10 â­ ðŸ¤©",POSITIVE
"Its been a week since I've got this problem where I can't open the app, it's just a black screen with the Spotify logo in the middle, please fix it as soon as possible, I really enjoy the app",NEGATIVE
Select a song and get something else Ask for RHCP and get Limp Bizkit. i can deal with the dozens of ads but itd be nice to get the music you actually choose.,POSITIVE
"Updates downloads when I need it most, I work in a manufacturing facility so it is very hard to get connection and I cant having my phone out too much on the floor. Its annoying to have to wait on it working and feel like my job is at risk cause my PRE DOWNLOADED PLAYLISTS need to re-download... SHUFFLE DOESNT WORK. PLAYS SAME 20 SONGS OUT OF A 40 HOUR PLAYLIST! FIX IT PLEASE!",NEGATIVE
The app isn't optimised for low connection speeds and spotty connections.,NEGATIVE
"Spotify as a platform is great. But the app for android is slow, glitch filled garbage.",NEGATIVE
Love the selections do many to choose!!,POSITIVE
Thank you...you brought back the young girl in me! Love looking up the old music from the 80s,POSITIVE
Very hard to use compared to other platforms,NEGATIVE
It just simply is using a different sing to the one I select,NEGATIVE
I love Spotify. It plays great music on there.,POSITIVE
"I like it I still use and all but the ads bro so many ads like I pick a play list and literally over 6 ads go on then when it's say ""enjoy the next 30 minutes without ads"" its liying cuz and ad pops up when it hasn't even been 30 minutes but I like how it's set up and all so ima still use but bro the ads are over board",NEGATIVE
Downgrading to one star. Enjoy paying for a thing that doesn't work.,NEGATIVE
Some songs are disabled tho,NEGATIVE
I love this app so much. I have been using Spotify for like 4 years and it has rarely posed any problems. I had an issue with swiching what device i was listening on but ir was easilly fixed. Just a suggestion of mine woud to be to like add/make a remote feature or app so if people are listening on like a computer hooked to a tv they can control spotify from a phone easier,NEGATIVE
"Music and podcasts when I exercise, shower, cook, eat, whenever I want to feel upbeat, focused, or just want to listen to a great interview. Great app.",POSITIVE
I can't even open the app anymore I can't listen to music,NEGATIVE
"Hello, i facing a problem sometimes it turn off suddenly and no pop up when music was on. I have to keep install and uninstall this app, and it kinds annoyed me sometimes. Please fix this bug. I was using samsung a73 G.",NEGATIVE
Really good but it needs better sound quality,NEGATIVE
Best app for streaming the latest music hands down. If you have Spotify Duo you & your parter can create your own accounts & playlist for one small price. I absolutely love Spotify. Highly recommended.,POSITIVE
"Decent service... Except that the free version is getting to the point that at least as much time listening to music is spent listening to ads! ðŸ˜µ I get you want people to pay for Premium but it's truly ridiculous. Used to really like Spotify. Now I just turned it on, it played ONE song, and then LITERALLY at least 8 (I lost count) ads ranging from 15-45 seconds EACH. And not even the ""Enjoy your next 30 mins of ad free listening"" message so for all I know it'll be the same after the next song.",NEGATIVE
"premium user for years. Spotify has always been my fav music & pod app but I'm thinking about switching. Never used to have any issues, 2 yrs ago I switched to iPhone for the first time - still no problems. Switched back to Samsung a few months ago, the app is almost impossible to use. You can almost never see 'now playing' to control your show or music. It randomly pauses your podcast for no reason. & It marks podcasts as played after 1 sec so you can't sort by unplayed. Also a million pop ups.",NEGATIVE
"This app disconnects from the internet regularly for no reason. Can't set daughter's lullabies to ignore so guess what my most played songs and recommendations are? This app isn't cheap, I expect it to be far better.",NEGATIVE
There is no search option for song.,NEGATIVE
Best pod cast and music,POSITIVE
It will open but I'm stuck at the sign in it won't do anything except show the logo,NEGATIVE
"Best option for music. Everything you can think of is on Spotify. They give you recommendations, make mixes and give concert info.",POSITIVE
"Music and podcasts keep pausing for no reason. Also the playbar for whatever is playing (when it does decide to play) is mysteriously absent from the bottom of the app UI, and also absent from the pull down notification bar on my phone.",NEGATIVE
